Electrolyte,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE,LCE
1 M LiClO4-PC + 5% FEC,0.014,0.842,0.017,0.876,0.004,0.004,0,0.249,0.225,0.024,0.296,0.296,0,80,0.699
1 M LiPF6 EC-DMC (1:1 v) 2% VC,0.145,1,0.145,1.17,0.038,0,0.038,0.263,0.263,0,0.263,0.263,0,80,0.699
1 M LiBF4 EC-DMC (1:1 v) 2% VC,0.143,0.985,0.145,1.152,0.038,0.012,0.026,0.259,0.259,0,0.263,0.263,0,80,0.699
1. M LiClO4 PC (C4H6O3),0,0.835,0,0.856,0,0,0,0.247,0.222,0.025,0.296,0.296,0,80,0.699
1. M LiPF6 Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.149,1,0.149,1.174,0.039,0,0.039,0.261,0.261,0,0.261,0.261,0,80,0.699
1M LiTFPFB PC,0.24,0.725,0.331,0.985,0.07,0,0.07,0.212,0.206,0.006,0.293,0.275,0.018,80.6,0.712
1. M LiPF6 Ethylene carbonate 50.% + EMC (C4H8O3) 50.%,0.144,0.884,0.162,1.052,0.039,0,0.039,0.238,0.238,0,0.269,0.269,0,81.9,0.742
1 M LiPF6 EC-EMC (3:7 wt) 2% wt VC,0.146,0.823,0.177,0.993,0.038,0,0.038,0.216,0.216,0,0.263,0.263,0,82,0.745
1 M LiTFSI EC-DMC (1:1 v) 2% VC,0.139,1.046,0.133,1.254,0.036,0,0.036,0.275,0.25,0.024,0.263,0.25,0.012,82,0.745
1. M LiPF6 Ethylene carbonate 21.74% + EMC (C4H8O3) 78.26%,0.15,0.811,0.185,0.986,0.039,0,0.039,0.211,0.211,0,0.26,0.26,0,82,0.745
1. M LiTFSI Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.142,1.047,0.135,1.26,0.037,0,0.037,0.273,0.248,0.025,0.261,0.248,0.012,82,0.745
"1. M LiTFSI 1,3-dioxolane (	C3H6O2) 50.% + DME (C4H10O2) 50.%",0.14,0.654,0.215,0.865,0.035,0,0.035,0.163,0.139,0.023,0.249,0.237,0.012,82.7,0.762
1M LiPF6 EC-DMC (3:7 v/v),0.156,1,0.156,1.182,0.039,0,0.039,0.252,0.252,0,0.252,0.252,0,83.3,0.777
